"Issue","status","Priority","Responsible","CE Comments","Response or Action taken by SB","SB Note","Date Due","Date Completed","SB Status","Risk","SB Owner"
"Cooling screw motors","Complete","Low","Mats /Walter","The motors have been running on 10Hz to be slow enough to allow cooling of the biochar, but that is the lower limit for the motors. It has caused issues in the past, with motors getting stuck from lack of power. This is going to be an even bigger issue when operating at 1ton/hr, as the mass of biochar moving through the screws will be greater and thus need more torque but it will not be able to be cooled",,"According to supplier the motr shall not operate constantly below 15 Hz. Speed has therefor been restricted to minimum 15Hz",,,,,
"Wetting spray","Pending","Med","SB","The nozzles get blocked immediately by fines, and the working area is too short to wet the falling biochar appropriately. There should be a longer working area or multiple spraying locations (perhaps between screw 1 and 2, which might also create some steam and cracking). Finally, there is accumulation of unretained water at base of screw which leaks and clogs, and has leaked into bearing at some points.",,"New wetting nozzles in cooling screw 3",,,,,
"Electrical consumption below 70kW","Complete",,"SB","Have discussed with Walter and Mats several times. This needs to be translated to Guard and included in the design of the startup and production sequences to make sure the limit is NEVER passed.","Reviewed and confirmed by Walter, consumption will be below 40kW","System shall monitor energy consumption. SB is confident that the power consumption will not exceed 70 kW. At current operation we are at approx 20 kW but will be higher when complete line is in opration.",,,,,
"Syngas valves","Pending","High","SB","Current valves have a temperature limit of 600ºC and so need to be replaced. When one of them malfunctioned from this (totally bent) after 2 hours of use, we also noticed it was covered in tar. We need to keep an eye on this, as this level of tar will create issues.","Will be built by SB and delivered next week (week of june 8th)","Material arrives in week 24/25 and the modification will take approx. 1 week fron reception of material",,,,,
"Infeed hopper","Pending","Med","SB","Needs to be changed to a straight wall and the cover needs to be adapted to keep the fines in.","Will be done . SB wants to get Mario to weld this. if so need confirmation asap to coordinate with him","SB is looking at construction. Feed hopper works as it is. This change is an improvement.",,,,,
"Infeed screw and rotary valve","Pending","Low","SB","Screw could potentially be too large diameter which is causing two issues: 1. it is not able to be filled with woodchips, and this causes syngas to escape through the screw and rotary valve and into the building. 2. If the screw is filled, the accumulation of material blocks the rotary valve. Suggestion from Walter is to replace the entire screw with a smaller diameter screw, and possibly remove the rotary valve. Alternative: Why not keep the screw, always have it full and simply regulate input rate by changing the motor speed?","SB need to confirm if this is no longer considered an issue","However, SB is looking at an improved feed arrangement.",,,,,
"syngas escapes through infeed system","Pending","Low",,"Syngas is escaping through the infeed screw and rotary valve, even when the fan is creating an underpressure. It is definitely not just dust: when there was no longer input of biomass we could see syngas escaping from the top.","SB hypothesis is the since the infeed screw is angled downward, some of the syngas is rising to the highest point (where the rotary valve is) escaping the pull of the underpressure. SB proposal: to suck the syngas out from above the rotary valve and run it through a dust filter and then feed into the cold air fan. CE comment: We can do this as a temporary fix, but its equally important to understand why this is happening and how to prevent it.","SB is looking at an improved feed arrangement.",,,,,
"Leaks in the Reactor structure","Pending","Med","SB + CE","Tests carried out on 12/05/26 indicate a substantial number of leaks in the outer shell of the reactor, an inability to maintain a proper seal in order to operate under normal pyrolysis conditions. Leaks apear both at several welded joints as well as at the union between the sections of the outer shell (some are up to 4mm wide). If leaks are sealed using paste + tightening, there is a high likelihood the problem will return in a few months. If leaks are sealed by welding, we no longer have access to interior of the reactor (huge problem for commisioning and maintenance).","20/05: Ola was able to provide a temporary solution: squeeze insulation material inbetween the outer shell sections + put additional screws to tighten the union + cover with past. Question remains if this is a durable option, and if not what is the long-term solution? SB says the secondary leaks in the shell only affect the energy efficiency of the reactor, but they should be sealed as well.","Detect and continue sealing work. All depending on place and function. Focus on straightening panels and problem areas when assembling after repair Final decision will be taken when reactor is opened for repair!",,,,,
"Sensors (reactor temperature sensors)","Complete",,"SB","Some sensors are too short and are not penetrating enough into the reactor to provide accurate readings. Need to be replaced by longer ones.","arriving this week (june 2nd).","Ready to be installed",,,,,
"Outfeed rotary valve","Complete",,,"Capacity of the valve might be too low: max 1.8m3 of biochar per hour.","Walter says OK, we will be within the recommended parameters.","No comments",,,,,
"Program data for EBC auditing","Pending","Med","SB/Guard","CE has the list ready, just needs to be reviewed with SB and Guard.","Reviewed quickly with Walter, now need to coordinate with Guard for implementation. W says we can measure energy into boiler (in KW), so that data point should be included.",,,,,,
"Connection Cabinet","Pending","Med","SB","Electrical installation company has recurrently mentioned that the cables in the electical cabinet are tangled and poorly organized. The wiring architecture should be more organized for ease of access and clarity, to avoid loose connections and wire crossing, to facilitate identification of issues if they occurr, etc.",,"Cabel marking and terminal numbering",,,,,
"syngas leaks in flaring chimney","Issue","Med","SB","Syngas leaks in different places of the flaring chimney. Possible cause is loosened flange bolts: practically all the flange bolts are found to be loose after two weeks of testing. This has been the case several times before. It seems necessary to reevaluate the method or materials for the flange tightening.",,"SB has changed these seals need to check reason leakage",,,,,
"leaks (pre-/post syngas fan)","Issue","High","SB","There are leaks at the Gas Escape Flange from the Syngas Furnace Outlet, as well as the pipe section going into the fan, which can be seen in photos and videos where the insulation is blackened. We see this at several places indicated in the list, so perhaps the flange and fastener system are not the right choice at these temperatures and behavior?",,"Must check seals and reason for leakage",,,,,
"Leaks / welding","Issue","Med","SB","There are a number of leaks throughout the reactor shell that come out of welding points. Upon inspection from Mario, the indication is that the welding has not been correctly done and many sites are contaminated (incorrect materials, incorrect maintenance of welding tip). These should be cleaned and redone.",,"need to detect and seal leaks",,,,,
"Leaks/ excessive temperatures","Pending","Med","SB","Gas leaks and high temperatures at the furnace outlet to the heat exchanger chimney. As a temporary solution 350ºC silicone has been applied, but the temperatures that this flange reaches are above 400º, so a better longterm solution is needed. Additionally, the controller of the flow control valve is very close to this section and is subjected to excessive thermal load, risking damage. A piece of insulation was wedged between the space as a rough emergency solution (see photo). Is it normal for external parts of the furnace to reach such high temperatures? Solutions are needed for both problems: the syngas leak and the excessive temperatures.",,"This is not Syngas leakage; is exhaust from the heating chamber. New seal will be installed",,,,,
"Chamber 1 high temperatures","Pending","Med","SB + CE","The temperature in chamber 1 has often been around 900 ºC and has even reached 1050ºC. Can this be a factor in the weakening and breaking of the inner drum weld? Can it have other consequences in the medium-term ? It was initially thought this was a result of air leaks into this chamber resulting in combustion, however the leaks have (theoretically) been solved and yet the problem persists. It is important to understand why this is happening and propose a solution.",,"It is difficult set set one particulat reason. It is combination of factors such as: - Uncontrolled reaction due to fines. Reasoning shall be confirmed",,,,,
"Compressed air leaks","Pending","Low","SB","The compressed air system is leaking from the syngas outlet valve. Several months ago Ola tried to dismount it to find the problem but didn't find anything, and a solution or replacement was postponed to a later date. At this time, the problem persists and the ""solution"" has been to rig the compressor so that it continues working continuously which creates a risk of overloading it.",,"SB will check normal air consumption. All control valve has a natural air consumption.",,,,,
"Drum shaft cover screws","Pending","Med","SB","Drum shaft cover screws are missing because the cover holes do not match their fastening in the oven. Unsure why this is the case, if something happened, and what the plan is.",,"Sb will check during repair work",,,,,
"Safety Platform","Pending","Med","SB + CE","Work being done around the syngas fan is precarious. CE has brought harnesses and lifelines, but it would be advisable to install a small safety platform for the current work of installing/modifying syngas valves, installing insultation, installing/modifying sensors, as well as for future maintenance, etc.",,"SB + CE will discuss requirement",,,,,
"Turbine air filter (Cold air fan)","Issue","Med","SB + CE","Roberto and Hugo coordinated several weeks ago, but we still have no response from several suppliers. Standard Bio should take the lead on the selection and ordering of whatever material is needed.",,,,,,,
"Air compresor","Pending","Med","CE","recurrent moisture in compressed air compressor, automatic drain valve recommended",,"Recommended but service routine can compensate for this.",,,,,
"FURNACE SYNGAS OUTLET","Issue","Med","SB","There is excessively high temperature (exceeding 400º) at the syngas collector outlet to the fan. The silicone applied to seal the leaks in the reactor housing only withstands 350º. Even as a temporary solution, the paste or silicone to be used should be over-dimensioned... In any case this requires a definitive solution.",,"? please explain Need to check what has been used",,,,,
"External casing","Issue","High","SB","Different deformations in the external casing of the oven have been identified, which coincide with internal structural areas such as the seperation between internal chambers. Do these affect the integrity of these seals and the structure of the various internal components of the oven??",,"SB will check during repair",,,,,
"Silos","Pending","Low","SB","SB team has mentioned several times that the silos are not the correct shape, and there is a likely risk of material bridging. Unsure of the scope of the problem until we have run for a longer time. This might not be an immediate problem, but likely needs to be addressed at some point.",,"Not immidate problem",,,,,
"Silo infeed","Pending","Low","SB","Static infeed into the silo doesn't distribute material evenly and creates asymmetrical piling. This reduces the true capacity of the silo. SB had proposed to incorporate a rotating arm, but nothing has been decided.",,"Not a cruicial",,,,,
"Silo screws","Pending","Low","SB","SB team has mentioned that one individual screw is not the correct choice for biomass and other bulk flow materials as it won't deliver uniform quantity of material",,"The system works, screws will not be changed",,,,,
